,emdb_id,emdb_map_file,raw_box_size_pixel,raw_pixel_size_angstrom,raw_recommended_contour_level,raw_resolution,downsampled_angpix,label_raw_norm,vol_raw_min,vol_raw_max
0,EMD-15230,emd_15230.map,240,1.32,0.0709,2.9,4.95000019669533,-0.438777634632768,3.25246176657856E-08,0.252662688493729
1,EMD-15264,emd_15264.map,288,0.837,0.032,3.26,3.76650005578995,-0.571336536895836,2.26916774259678E-09,0.149301260709762
2,EMD-27384,emd_27384.map,360,0.83100003,0.16,2.9,4.67437516897917,-0.708853769664878,1.09077798876589E-11,1.09910404682159
3,EMD-27428,emd_27428.map,300,0.85,0.25,4.3,3.98437511175871,-0.555206779310523,2.52360216057568E-10,1.12411785125732
4,EMD-27429,emd_27429.map,256,1.03,0.25,3.9,4.11999988555908,-0.813682761119813,5.82076609134674E-11,2.6835949420929
5,EMD-32484,emd_32484.map,160,1.245,0.04,3.4,3.11250001192093,-0.690023905021358,2.16375847794659E-10,0.258084416389465
6,EMD-33733,emd_33733.map,300,0.82,0.45,3.07,3.84374996647239,-0.684696117819993,3.46394735117883E-09,2.85438919067383
7,EMD-33736,emd_33736.map,256,0.82,0.1,4.14,3.27999997138977,-0.330976435626429,8.7958217098727E-11,0.298943132162094
8,EMD-34202,emd_34202.map,256,0.829,0.01,3.5,3.31599998474121,-0.47857666189221,1.76293335485411E-09,0.03835654258728
9,EMD-34685,emd_34685.map,400,1.06,0.00519,6.95,6.62499964237213,-0.562302145154384,7.68679174131814E-13,0.023714989423752
10,EMD-36458,emd_36458.map,800,1.087,0.475,3.17,13.5875001549721,-0.440816483765236,3.29272253993956E-13,1.69890558719635
11,EMD-36502,emd_36502.map,800,1.087,0.411,3.4,13.5875001549721,-0.407658328334706,1.64636126996978E-13,1.38771259784698
12,EMD-36504,emd_36504.map,800,1.087,0.44,3.35,13.5875001549721,-0.382253490317354,8.23180634984891E-14,1.42453253269196
13,EMD-36509,emd_36509.map,800,1.087,0.391,3.44,13.5875001549721,-0.429330359771256,4.93908408095989E-13,1.37031996250153
14,EMD-36514,emd_36514.map,800,1.087,0.367,3.62,13.5875001549721,-0.358682940512322,2.46954204047994E-13,1.14451968669891
15,EMD-36517,emd_36517.map,800,1.087,0.425,3.25,13.5875001549721,-0.476213948794918,3.29272253993956E-13,1.62279999256134
16,EMD-36518,emd_36518.map,800,1.087,0.502,3.07,13.5875001549721,-0.479620322195604,1.64636126996978E-13,1.92936050891876
17,EMD-36523,emd_36523.map,800,1.087,0.397,3.44,13.5875001549721,-0.411033678728788,3.29272253993956E-13,1.34812462329865
18,EMD-36525,emd_36525.map,800,1.087,0.381,3.65,13.5875001549721,-0.351096699609216,3.29272253993956E-13,1.1742889881134
19,EMD-36529,emd_36529.map,800,1.087,0.408,3.43,13.5875001549721,-0.408966040629666,3.29272253993956E-13,1.38063132762909
20,EMD-36530,emd_36530.map,800,1.087,0.395,3.55,13.5875001549721,-0.352475482106801,3.29272253993956E-13,1.22003102302551
21,EMD-36531,emd_36531.map,800,1.087,0.315,3.89,13.5875001549721,-0.388073289159209,1.64636126996978E-13,1.02953505516052
22,EMD-36533,emd_36533.map,800,1.087,0.373,3.53,13.5875001549721,-0.410058355178648,6.58544507987913E-13,1.26453185081482
23,EMD-36538,emd_36538.map,800,1.087,0.386,4.15,13.5875001549721,-0.322861248049074,3.29272253993956E-13,1.14009130001068
24,EMD-36539,emd_36539.map,800,1.087,0.379,4.12,13.5875001549721,-0.328281894559667,6.58544507987913E-13,1.12844955921173
25,EMD-36540,emd_36540.map,800,1.087,0.398,3.91,13.5875001549721,-0.33170249278546,3.29272253993956E-13,1.19108629226685
26,EMD-36544,emd_36544.map,800,1.087,0.328,4.27,13.5875001549721,-0.405514576700092,1.64636126996978E-13,1.10347533226013
27,EMD-36545,emd_36545.map,800,1.087,0.328,4.29,13.5875001549721,-0.384061929070566,1.64636126996978E-13,1.06504213809967
28,EMD-36564,emd_36564.map,800,1.087,0.447,3.71,13.5875001549721,-0.350700064641638,6.58544507987913E-13,1.3768675327301
29,EMD-36580,emd_36580.map,800,1.087,0.483,3.43,13.5875001549721,-0.37241216266852,6.58544507987913E-13,1.539226770401
30,EMD-36585,emd_36585.map,800,1.087,0.545,3.52,13.5875001549721,-0.355498228808396,3.29272253993956E-13,1.69122886657715
31,EMD-14778,emd_14778.map,256,0.889,5.13,3.99,3.55599999427795,-0.489749024616773,3.82732645576311E-09,20.1077518463135
32,EMD-14960,emd_14960.map,256,0.889,5.13,4,3.55599999427795,-0.557273781925951,4.90943854458692E-08,23.1745929718018
33,EMD-15265,emd_15265.map,288,0.837,0.032,3.65,3.76650005578995,-0.51906324274312,4.48957176990561E-10,0.133073627948761
34,EMD-16155,emd_16155.map,520,0.829,0.008,2.8,6.73562496900559,-0.649118230948201,1.01638523986036E-10,0.045599404722452
35,EMD-16493,emd_16493.map,400,0.86,0.4,3.2,5.37500008940697,-0.695368828762404,1.11758709925303E-11,2.62612652778625
36,EMD-16678,emd_16678.map,560,0.7303,0.108,3,6.39012508094311,-0.577361115384987,2.10833371702864E-13,0.511074602603912
37,EMD-27459,emd_27459.map,300,1.083,0.018,3.18,5.0765622407198,-0.273275726534418,1.33135766300363E-10,0.049537356942892
38,EMD-33590,emd_33590.map,224,1.014,0.01,2.8,3.54900020360947,-0.591022516937455,6.57915166790701E-10,0.048902444541454
39,EMD-33735,emd_33735.map,336,0.82,0.16,3.39,4.30499996244907,-0.809894750616261,4.83883939861318E-11,1.68327808380127
40,EMD-33738,emd_33738.map,256,0.82,0.1,3.18,3.27999997138977,-0.535131235348288,7.50511736091752E-11,0.43022894859314
41,EMD-33740,emd_33740.map,256,0.82,0.1,2.98,3.27999997138977,-0.565564524552339,1.13713899407841E-11,0.460367560386658
42,EMD-33866,emd_33866.map,256,1.08,0.027,2.7,4.32000017166138,-0.697222009019488,2.59147120429404E-10,0.178348496556282
43,EMD-33930,emd_33930.map,256,0.86,1,3.35,3.44000005722046,-0.730989213922445,2.3283064365387E-10,7.43464612960815
44,EMD-36499,emd_36499.map,800,1.087,0.425,3.26,13.5875001549721,-0.450309848036686,2.88113229020975E-13,1.54632568359375
45,EMD-36501,emd_36501.map,800,1.087,0.438,3.28,13.5875001549721,-0.403020067224051,1.64636126996978E-13,1.46738600730896
